gameid,date_time,away_id,away_score,home_id,home_score
323172569,Mon Nov 12 2012 19:30:00 GMT-0500 (Eastern Standard Time),338,67,2569,65
323172603,Mon Nov 12 2012 19:00:00 GMT-0500 (Eastern Standard Time),43,35,2603,61
323172628,Mon Nov 12 2012 18:00:00 GMT-0500 (Eastern Standard Time),2113,47,2628,75
323172747,Mon Nov 12 2012 19:00:00 GMT-0500 (Eastern Standard Time),2691,54,2747,87
323172550,Mon Nov 12 2012 19:00:00 GMT-0500 (Eastern Standard Time),2450,65,2550,78
323180023,Tue Nov 13 2012 22:00:00 GMT-0500 (Eastern Standard Time),248,77,23,75
323172612,Mon Nov 12 2012 19:00:00 GMT-0500 (Eastern Standard Time),2115,61,2612,64
323172908,Mon Nov 12 2012 19:00:00 GMT-0500 (Eastern Standard Time),3171,36,2908,90
323180021,Tue Nov 13 2012 22:00:00 GMT-0500 (Eastern Standard Time),3096,57,21,91
323180030,Tue Nov 13 2012 21:30:00 GMT-0500 (Eastern Standard Time),299,44,30,62
323180025,Tue Nov 13 2012 21:30:00 GMT-0500 (Eastern Standard Time),2492,62,25,79
323180026,Tue Nov 13 2012 23:30:00 GMT-0500 (Eastern Standard Time),300,79,26,80
323180041,Tue Nov 13 2012 19:00:00 GMT-0500 (Eastern Standard Time),261,49,41,67
323180068,Tue Nov 13 2012 21:30:00 GMT-0500 (Eastern Standard Time),2473,80,68,88
