espn_game_id,date_time,away_espn_id,away_friendly_school,away_score,home_espn_id,home_friendly_school,home_score,conf_friendly
323142692,Fri Nov 09 2012 21:00:00 GMT-0500 (Eastern Standard Time),3188,,52,2692,Weber State,110,Nonconference
323142729,Fri Nov 09 2012 19:30:00 GMT-0500 (Eastern Standard Time),2261,Hampton,51,2729,William & Mary,69,Nonconference
323142752,Fri Nov 09 2012 19:00:00 GMT-0500 (Eastern Standard Time),161,Fairleigh Dickinson,75,2752,Xavier,117,Nonconference
323142934,Fri Nov 09 2012 21:00:00 GMT-0500 (Eastern Standard Time),250,Texas-Arlington,62,2934,Cal State Bakersfield,60,Nonconference
323150005,Sat Nov 10 2012 21:00:00 GMT-0500 (Eastern Standard Time),3219,,59,5,UAB,105,Nonconference
323150009,Sat Nov 10 2012 19:30:00 GMT-0500 (Eastern Standard Time),2110,Central Arkansas,64,9,Arizona State,79,Nonconference
323150042,Sat Nov 10 2012 15:00:00 GMT-0500 (Eastern Standard Time),2514,Quinnipiac,65,42,Hartford,61,Nonconference
323150043,Sat Nov 10 2012 17:30:00 GMT-0500 (Eastern Standard Time),2529,Sacred Heart,85,43,Yale,82,Nonconference
323150045,Sat Nov 10 2012 16:00:00 GMT-0500 (Eastern Standard Time),2754,Youngstown State,80,45,George Washington,73,Nonconference
323150047,Sat Nov 10 2012 16:00:00 GMT-0500 (Eastern Standard Time),2339,,68,47,Howard,62,Nonconference
323150058,Sat Nov 10 2012 19:00:00 GMT-0500 (Eastern Standard Time),2116,UCF,74,58,South Florida,56,Nonconference
323150087,Sat Nov 10 2012 14:00:00 GMT-0500 (Eastern Standard Time),339,Evansville,49,87,Notre Dame,58,Nonconference
323150107,Sat Nov 10 2012 17:00:00 GMT-0500 (Eastern Standard Time),2636,UTSA,60,107,Holy Cross,56,Nonconference
323150142,Sat Nov 10 2012 17:00:00 GMT-0500 (Eastern Standard Time),2565,SIU Edwardsville,69,142,Missouri,83,Nonconference
323150151,Sat Nov 10 2012 17:00:00 GMT-0500 (Eastern Standard Time),2688,,50,151,East Carolina,72,Nonconference
323150159,Sat Nov 10 2012 19:00:00 GMT-0500 (Eastern Standard Time),311,Maine,54,159,Dartmouth,67,Nonconference
323150160,Sat Nov 10 2012 13:00:00 GMT-0500 (Eastern Standard Time),383,,51,160,New Hampshire,91,Nonconference
323150172,Sat Nov 10 2012 12:00:00 GMT-0500 (Eastern Standard Time),2711,Western Michigan,55,172,Cornell,63,Nonconference
323150195,Sat Nov 10 2012 14:00:00 GMT-0500 (Eastern Standard Time),2501,Portland,52,195,Ohio,81,Nonconference
323150231,Sat Nov 10 2012 19:00:00 GMT-0500 (Eastern Standard Time),171,Columbia,68,231,Furman,47,Nonconference
323150238,Sat Nov 10 2012 16:00:00 GMT-0500 (Eastern Standard Time),2447,Nicholls State,65,238,Vanderbilt,80,Nonconference
323150242,Sat Nov 10 2012 20:00:00 GMT-0500 (Eastern Standard Time),3170,,72,242,Rice,59,Nonconference
323150259,Sat Nov 10 2012 14:00:00 GMT-0500 (Eastern Standard Time),2193,East Tennessee State,62,259,Virginia Tech,80,Nonconference
323150265,Sat Nov 10 2012 19:30:00 GMT-0500 (Eastern Standard Time),331,Eastern Washington,69,265,Washington State,88,Nonconference
323150279,Sat Nov 10 2012 22:00:00 GMT-0500 (Eastern Standard Time),2868,,38,279,Pacific,76,Nonconference
323150295,Sat Nov 10 2012 19:15:00 GMT-0500 (Eastern Standard Time),2415,Morgan State,61,295,Old Dominion,72,Nonconference
323150299,Sat Nov 10 2012 18:00:00 GMT-0500 (Eastern Standard Time),2453,,65,299,Long Beach State,75,Nonconference
323150300,Sat Nov 10 2012 22:00:00 GMT-0500 (Eastern Standard Time),2440,Nevada,64,300,UC Irvine,78,Nonconference
323150328,Sat Nov 10 2012 21:05:00 GMT-0500 (Eastern Standard Time),304,Idaho State,48,328,Utah State,56,Nonconference
